SamplingArea,Campaign,SampleSiteID,SampleSiteCode,Month,Day,Year,Longitude,Latitude,EPSG,GPS_source,Elevation_m,VegetationType,Site_Veg,Needles,FieldVegHeightMax_cm,FieldVegHeightMedian_cm,SoilMoisture_%_1,SoilMoisture_%_2,SoilMoisture_%_3,Foliar_IGSN
MtC,ER18,364,364-ER18,6,27,2018,38.991428,-107.065407,4326,RTK,3450.4,Meadow,Meadow,FALSE,47,25,6,6,6,IER18009S
MtC,ER18,365,365-ER18,6,27,2018,38.991519,-107.065224,4326,RTK,3445.6,Meadow,Meadow,FALSE,35,14,8,9,9,IER18009T
MtC,ER18,366,366-ER18,6,27,2018,38.991636,-107.0649,4326,RTK,3441,Meadow,Meadow,FALSE,26,8,6,7,7,IER18009U
MtC,ER18,367,367-ER18,6,27,2018,38.991665,-107.064785,4326,RTK,3438.4,Meadow,Meadow,FALSE,36,23,5,7,8,IER18009V
MtC,ER18,368,368-ER18,6,27,2018,38.991559,-107.064678,4326,RTK,3432.5,Meadow,Meadow,FALSE,37,16,5,4,6,IER18009W
MtC,ER18,369,369-ER18,6,27,2018,38.991361,-107.064649,4326,RTK,3426.2,Meadow,Meadow,FALSE,60,18,12,15,20,IER18009X
MtC,ER18,370,370-ER18,6,27,2018,38.991227,-107.064553,4326,RTK,3420.1,Meadow,Meadow,FALSE,53,19,5,6,5,IER18009Y
MtC,ER18,371,371-ER18,6,27,2018,38.991121,-107.064481,4326,RTK,3417.3,Meadow,Meadow,FALSE,56,22,5,3,6,IER18009Z
MtC,ER18,372,372-ER18,6,27,2018,38.991034,-107.064271,4326,RTK,3413.7,Meadow,Meadow,FALSE,24,18,58,72,70,IER1800A0
MtC,ER18,373,373-ER18,6,27,2018,38.990856,-107.064132,4326,RTK,3412.2,Meadow,Meadow,FALSE,34,14,98,80,94,IER1800A1
MtC,ER18,374,374-ER18,6,27,2018,38.990756,-107.062669,4326,RTK,3390.1,Meadow,Meadow,FALSE,46,23,5,7,8,IER1800A2
MtC,ER18,375,375-ER18,6,27,2018,38.990709,-107.062275,4326,RTK,3386.3,Meadow,Meadow,FALSE,21,9,30,57,60,IER1800A3
MtC,ER18,376,376-ER18,6,27,2018,38.990558,-107.061659,4326,RTK,3384.4,Meadow,Meadow,FALSE,23,17,9,10,11,IER1800A4
MtC,ER18,377,377-ER18,6,27,2018,38.991022,-107.060881,4326,RTK,3377.9,Meadow,Meadow,FALSE,36,16,54,44,24,IER1800A5
MtC,ER18,378,378-ER18,6,27,2018,38.990831,-107.06046,4326,RTK,3380.6,Meadow,Meadow,FALSE,41,18,43,29,23,IER1800A6
MtC,ER18,379,379-ER18,6,27,2018,38.990865,-107.060051,4326,RTK,3382.5,Meadow,Meadow,FALSE,40,22,7,6,5,IER1800A7
MtC,ER18,380,380-ER18,6,27,2018,,,,,,Meadow,Meadow,FALSE,48,23,90,89,95,IER1800A8
MtC,ER18,381,381-ER18,6,27,2018,38.990445,-107.059866,4326,RTK,3388.2,Meadow,Meadow,FALSE,56,44,11,12,8,IER1800A9
MtC,ER18,382,382-ER18,6,27,2018,38.990447,-107.059751,4326,RTK,3388.9,Meadow,Meadow,FALSE,37,19,6,8,8,IER1800AA
MtC,ER18,383,383-ER18,6,27,2018,38.990356,-107.059586,4326,RTK,3394.4,Meadow,Meadow,FALSE,36,19,7,9,5,IER1800AB
MtC,ER18,384,384-ER18,6,27,2018,38.992046,-107.064607,4326,RTK,3442.4,Shrub,planifolia,FALSE,149.7,,9,11,11,IER1800B7
MtC,ER18,385,385-ER18,6,27,2018,38.992055,-107.064416,4326,RTK,3440.9,Shrub,wolfii,FALSE,157.1,,48,66,42,IER1800D0
MtC,ER18,386,386-ER18,6,27,2018,38.992416,-107.064079,4326,RTK,3436.7,Shrub,Gooseberry,FALSE,94.9,,9,10,6,IER18004O
MtC,ER18,387,387-ER18,6,27,2018,38.992294,-107.063598,4326,RTK,3415.4,Shrub,PotFru,FALSE,45.6,,3,6,4,IER1800BQ
MtC,ER18,388,388-ER18,6,27,2018,38.991552,-107.063015,4326,RTK,3389.6,Shrub,boothii,FALSE,162.8,,7,6,6,IER18001K
MtC,ER18,389,389-ER18,6,27,2018,38.991518,-107.062415,4326,RTK,3381.2,Shrub,planifolia,FALSE,135.6,,98,98,98,IER1800B8
MtC,ER18,390,390-ER18,6,27,2018,38.990631,-107.062338,4326,RTK,3389.1,Shrub,wolfii,FALSE,133.3,,9,11,9,IER1800D1
MtC,ER18,391,391-ER18,6,27,2018,38.990639,-107.061389,4326,RTK,3383.3,Shrub,wolfii,FALSE,66,,11,10,12,IER1800D2
MtC,ER18,392,392-ER18,6,27,2018,38.990704,-107.059972,4326,RTK,3384.6,Shrub,wolfii,FALSE,102.4,,10,20,14,IER1800D3
MtC,ER18,393,393-ER18,6,27,2018,38.990715,-107.059135,4326,RTK,3396.4,Shrub,wolfii,FALSE,116.3,,10,11,11,IER1800D4
MtC,ER18,394,394-ER18,6,27,2018,38.989216,-107.064396,4326,RTK,3442.2,Tree,Engelmann,TRUE,,,,,,IER18003X
MtC,ER18,395,395-ER18,6,27,2018,38.988792,-107.064244,4326,RTK,3444.5,Tree,Engelmann,TRUE,,,,,,IER18003Y
MtC,ER18,396,396-ER18,6,27,2018,38.9893,-107.063876,4326,RTK,3438.7,Tree,Engelmann,TRUE,,,,,,IER18003Z
MtC,ER18,397,397-ER18,6,27,2018,38.989602,-107.063444,4326,RTK,3425.2,Tree,SubFir,TRUE,,,,,,IER1800CG
MtC,ER18,398,398-ER18,6,27,2018,38.98909,-107.063117,4326,RTK,3434.1,Tree,Engelmann,TRUE,,,,,,IER180040
MtC,ER18,399,399-ER18,6,27,2018,38.989172,-107.063252,4326,RTK,3432.6,Tree,Engelmann,TRUE,,,,,,IER180041
US,ER18,400,400-ER18,6,28,2018,38.97594,-107.063818,4326,RTK,3048.2,Tree,Engelmann,TRUE,,,,,,IER180042
US,ER18,401,401-ER18,6,28,2018,38.975831,-107.06378,4326,RTK,3053.2,Tree,SubFir,TRUE,,,,,,IER1800CH
US,ER18,402,402-ER18,6,28,2018,38.975857,-107.06352,4326,RTK,3063.6,Tree,Engelmann,TRUE,,,,,,IER180043
US,ER18,403,403-ER18,6,28,2018,38.975994,-107.063313,4326,RTK,3067.3,Tree,Engelmann,TRUE,,,,,,IER180044
US,ER18,404,404-ER18,6,28,2018,38.975692,-107.065683,4326,RTK,2977.2,Meadow,Meadow,FALSE,86,28,7,7,8,IER1800AC
US,ER18,405,405-ER18,6,28,2018,38.97556,-107.065518,4326,RTK,2980.4,Meadow,Meadow,FALSE,43,23,6,7,6,IER1800AD
US,ER18,406,406-ER18,6,28,2018,38.975531,-107.065644,4326,RTK,2978.7,Meadow,Meadow,FALSE,72,53,8,13,8,IER1800AE
US,ER18,407,407-ER18,6,28,2018,38.975221,-107.065577,4326,RTK,2979.1,Meadow,Meadow,FALSE,40,21,8,5,7,IER1800AF
US,ER18,408,408-ER18,6,28,2018,38.975071,-107.065619,4326,RTK,2977.8,Meadow,Meadow,FALSE,100,37,9,10,17,IER1800AG
US,ER18,409,409-ER18,6,28,2018,38.974974,-107.065512,4326,RTK,2980.4,Meadow,Meadow,FALSE,95,48,7,6,7,IER1800AH
US,ER18,410,410-ER18,6,28,2018,38.974878,-107.065579,4326,RTK,2978.7,Meadow,Meadow,FALSE,94,85,6,13,14,IER1800AI
US,ER18,411,411-ER18,6,28,2018,38.974729,-107.065615,4326,RTK,2978.6,Meadow,Meadow,FALSE,62,14,7,7,9,IER1800AJ
US,ER18,412,412-ER18,6,28,2018,38.97452,-107.065199,4326,RTK,2989.3,Meadow,Meadow,FALSE,48,24,5,5,6,IER1800AK
US,ER18,413,413-ER18,6,28,2018,38.974396,-107.065299,4326,RTK,2983.2,Meadow,Meadow,FALSE,52,20,3,3,4,IER1800AL
US,ER18,414,414-ER18,6,28,2018,38.975789,-107.065553,4326,RTK,2979,Meadow,Meadow,FALSE,78,30,5,7,5,IER1800AM
US,ER18,415,415-ER18,6,28,2018,38.975698,-107.065349,4326,RTK,2983.8,Meadow,Meadow,FALSE,58,35,3,4,5,IER1800AN
US,ER18,416,416-ER18,6,28,2018,38.975754,-107.064998,4326,RTK,2995.2,Meadow,Meadow,FALSE,60,40,4,5,6,IER1800AO
US,ER18,417,417-ER18,6,28,2018,38.97593,-107.064697,4326,RTK,3005.7,Meadow,Meadow,FALSE,30,10,5,5,4,IER1800AP
US,ER18,418,418-ER18,6,28,2018,38.97694,-107.066442,4326,RTK,2977.6,Meadow,Meadow,FALSE,110,77,8,8,8,IER1800AQ
US,ER18,419,419-ER18,6,28,2018,38.977012,-107.066409,4326,RTK,2978.3,Meadow,Meadow,FALSE,77,70,4,9,6,IER1800AR
