ShortName,FullName,State,Country
RM,RMBL Research Meadow,CO,USA
PH,Pumphouse,CO,USA
SG,Snodgrass,CO,USA
BD,Bradley,CO,USA
T403,"403 Trail, East River",CO,USA
WGM,Washington Gulch Mid,CO,USA
UC,Upper Coal Creek,CO,USA
WGU,Washington Gulch Upper,CO,USA
RCK,Rock Creek ,CO,USA
PG,Poverty Gulch,CO,USA
MtC,Mt. Cinnamon,CO,USA
US,Upper Slate River,CO,USA
RW,Redwell Basin,CO,USA
LC,Lower Coal,CO,USA
GS,Coal Creek Iron Gossen,CO,USA
LS,Lower Slate,CO,USA
