SamplingArea,SampleSiteCode,IGSN,CoverCode,Area_cm2,Wet_Weight_g,Dry_Weight_g,LMA_gm2,LWC_%,ImageName
T403,122-ER18,IER18000A,Aspen,250.726,4.48,1.738,69.3,61.2,122-LMA.jpg
T403,123-ER18,IER18000B,Aspen,278.5461,4.71,1.826,65.6,61.2,123-LMA.jpg
WGM,124-ER18,IER18002Z,Engelmann,48.6779,3.43,1.9689,404.5,42.6,124-LMA.jpg
WGM,125-ER18,IER180030,Engelmann,24.4458,1.57,0.8799,359.9,44,125-LMA.jpg
WGM,126-ER18,IER180031,Engelmann,36.7322,2.47,1.3989,380.8,43.4,126-LMA.jpg
WGM,127-ER18,IER1800C5,SubFir,33.5859,1.95,1.0406,309.8,46.6,127-LMA.jpg
WGM,128-ER18,IER18000C,Aspen,180.9673,3.33,1.4507,80.2,56.4,128-LMA.jpg
WGM,129-ER18,IER18000D,Aspen,266.8167,5.63,2.262,84.8,59.8,129-LMA.jpg
WGM,130-ER18,IER18000E,Aspen,245.2741,5.57,2.3086,94.1,58.6,130-LMA.jpg
WGM,131-ER18,IER180032,Engelmann,41.1587,2.66,1.4638,355.6,45,131-LMA.jpg
WGM,132-ER18,IER18000F,Aspen,278.622,4.76,1.9537,70.1,59,132-LMA.jpg
WGM,133-ER18,IER18000G,Aspen,212.3856,4.14,1.6799,79.1,59.4,133-LMA.jpg
WGM,134-ER18,IER180019,boothii,137.86,3.13,1.0805,78.4,65.5,134-LMA.jpg
WGM,135-ER18,IER18001A,boothii,123.752,2.21,0.7456,60.2,66.3,135-LMA.jpg
