SamplingArea,SampleSiteCode,IGSN,CoverCode,Area_cm2,Wet_Weight_g,Dry_Weight_g,LMA_gm2,LWC_%,ImageName
RCK,290-ER18,IER1800CB,SubFir,24.0955,1.4,0.7619,316.2,45.6,290-LMA.jpg
RCK,291-ER18,IER18003E,Engelmann,22.4902,1.61,0.9126,405.8,43.3,291-LMA.jpg
RCK,292-ER18,IER18003F,Engelmann,24.2792,1.78,0.9637,396.9,45.9,292-LMA.jpg
RCK,293-ER18,IER18003G,Engelmann,25.0524,1.73,0.9919,395.9,42.7,293-LMA.jpg
RCK,294-ER18,IER18003H,Engelmann,21.7171,1.67,0.9122,420,45.4,294-LMA.jpg
RCK,295-ER18,IER18003I,Engelmann,32.8253,2.16,1.2985,395.6,39.9,295-LMA.jpg
RCK,296-ER18,IER18003J,Engelmann,21.0152,1.37,0.7786,370.5,43.2,296-LMA.jpg
RCK,297-ER18,IER18003K,Engelmann,31.6905,2.18,1.2967,409.2,40.5,297-LMA.jpg
RCK,298-ER18,IER18003L,Engelmann,24.9512,1.62,0.936,375.1,42.2,298-LMA.jpg
LS,299-ER18,IER180050,Lodgepole,34.0111,2.16,1.068,314,50.6,299-LMA.jpg
LS,300-ER18,IER180051,Lodgepole,48.3705,2.86,1.3435,277.8,53,300-LMA.jpg
LS,301-ER18,IER180052,Lodgepole,33.2473,2.01,0.9454,284.4,53,301-LMA.jpg
LS,302-ER18,IER18003M,Engelmann,23.5906,1.62,0.8483,359.6,47.6,302-LMA.jpg
LS,303-ER18,IER180053,Lodgepole,33.2498,2.01,0.9742,293,51.5,303-LMA.jpg
LS,304-ER18,IER180054,Lodgepole,34.6002,1.88,0.8433,243.7,55.1,304-LMA.jpg
LS,305-ER18,IER180055,Lodgepole,34.3684,2.34,1.0911,317.5,53.4,305-LMA.jpg
LS,306-ER18,IER18000N,Aspen,191.6254,3.35,1.459,76.1,56.4,306-LMA.jpg
LS,307-ER18,IER18003N,Engelmann,35.5643,2.39,1.3199,371.1,44.8,307-LMA.jpg
LS,308-ER18,IER18000O,Aspen,182.2804,4.11,1.8922,103.8,54,308-LMA.jpg
LS,309-ER18,IER1800CW,wolfii,92.5382,1.61,0.6104,66,62.1,309-LMA.jpg
LS,310-ER18,IER18001T,brachy,99.0827,1.95,0.8724,88,55.3,310-LMA.jpg
LS,311-ER18,IER1800CK,Willow,89.7743,1.79,0.7691,85.7,57,311-LMA.jpg
LS,312-ER18,IER1800BO,PenFlo,31.4431,0.63,0.2848,90.6,54.8,312-LMA.jpg
LS,313-ER18,IER18001H,boothii,114.2522,2.21,0.7594,66.5,65.6,313-LMA.jpg
LS,314-ER18,IER1800CX,wolfii,106.9017,2.03,0.8671,81.1,57.3,314-LMA.jpg
LS,315-ER18,IER1800CY,wolfii,98.178,1.89,0.7802,79.5,58.7,315-LMA.jpg
LS,316-ER18,IER1800CL,Willow,103.5138,2.09,0.9145,88.3,56.2,316-LMA.jpg
LS,317-ER18,IER1800CM,Willow,74.9707,1.46,0.6177,82.4,57.7,317-LMA.jpg
LS,318-ER18,IER1800CZ,wolfii,107.7423,1.94,0.7629,70.8,60.7,318-LMA.jpg
PG,319-ER18,IER18003O,Engelmann,31.3489,2.35,1.3788,439.8,41.3,319-LMA.jpg
PG,320-ER18,IER18003P,Engelmann,35.1913,2.12,1.1717,333,44.7,320-LMA.jpg
PG,321-ER18,IER18000P,Aspen,274.7259,5.36,2.2962,83.6,57.2,321-LMA.jpg
PG,322-ER18,IER18000Q,Aspen,236.9101,5.12,2.3224,98,54.6,322-LMA.jpg
PG,323-ER18,IER18003Q,Engelmann,55.4718,3.74,2.2117,398.7,40.9,323-LMA.jpg
RM,324-ER18,IER1800CC,SubFir,42.2944,2.39,1.2921,305.5,45.9,324-LMA.jpg
RM,325-ER18,IER1800CD,SubFir,35.2017,2.33,1.3664,388.2,41.4,325-LMA.jpg
RM,326-ER18,IER18000R,Aspen,251.6665,5.92,2.4842,98.7,58,326-LMA.jpg
RM,327-ER18,IER18000S,Aspen,239.4182,5.21,2.1626,90.3,58.5,327-LMA.jpg
PG,328-ER18,IER18003R,Engelmann,28.6008,1.89,1.0625,371.5,43.8,328-LMA.jpg
PG,329-ER18,IER1800CE,SubFir,54.262,3.58,1.9603,361.3,45.2,329-LMA.jpg
PG,330-ER18,IER18003S,Engelmann,52.3701,4.41,1.9775,377.6,55.2,330-LMA.jpg
PG,331-ER18,IER1800CF,SubFir,NA,2.7,1.4667,NA,45.7,NA
PG,332-ER18,IER18000T,Aspen,245.0497,5.17,2.2715,92.7,56.1,332-LMA.jpg
US,333-ER18,IER18003T,Engelmann,31.8724,2.05,1.1202,351.5,45.4,333-LMA.jpg
MtC,351-ER18,IER18003U,Engelmann,29.9456,2.22,1.2494,417.2,43.7,351-LMA.jpg
MtC,352-ER18,IER18003V,Engelmann,28.8964,2.1,1.2482,432,40.6,352-LMA.jpg
MtC,353-ER18,IER18003W,Engelmann,32.0766,1.66,0.9047,282,45.5,353-LMA.jpg
PG,354-ER18,IER1800BZ,Snowberry,164.3183,2.75,1.0124,61.6,63.2,354-LMA.jpg
PG,355-ER18,IER1800C0,Snowberry,154.7548,2.45,0.9581,61.9,60.9,355-LMA.jpg
PG,356-ER18,IER1800C1,Snowberry,192.9711,3.42,1.3494,69.9,60.5,356-LMA.jpg
PG,357-ER18,IER1800BP,PenFlo,81.1792,1.25,0.5865,72.2,53.1,357-LMA.jpg
PG,358-ER18,IER18002G,Elderberry,230.1955,4.86,1.2296,53.4,74.7,358-LMA.jpg
PG,359-ER18,IER18004S,Juniper,12.8468,0.57,0.3027,235.6,46.9,359-LMA.jpg
PG,360-ER18,IER1800C2,Snowberry,156.8877,2.66,1.0558,67.3,60.3,360-LMA.jpg
PG,361-ER18,IER18001I,boothii,204.6718,3.33,1.1942,58.3,64.1,361-LMA.jpg
PG,362-ER18,IER18002H,Elderberry,241.024,4.92,1.065,44.2,78.4,362-LMA.jpg
PG,363-ER18,IER18001J,boothii,205.1665,4.25,1.6538,80.6,61.1,363-LMA.jpg
MtC,384-ER18,IER1800B7,planifolia,104.2956,1.68,0.4694,45,72.1,384-LMA.jpg
MtC,385-ER18,IER1800D0,wolfii,184.4349,3.43,1.0416,56.5,69.6,385-LMA.jpg
MtC,386-ER18,IER18004O,Gooseberry,167.2844,2.5,0.8413,50.3,66.3,386-LMA.jpg
MtC,387-ER18,IER1800BQ,PenFlo,75.937,1.25,0.508,66.9,59.4,387-LMA.jpg
MtC,388-ER18,IER18001K,boothii,159.5244,3.34,1.0117,63.4,69.7,388-LMA.jpg
MtC,389-ER18,IER1800B8,planifolia,168.7656,3.07,1.018,60.3,66.8,389-LMA.jpg
MtC,390-ER18,IER1800D1,wolfii,152.8179,2.49,0.7949,52,68.1,390-LMA.jpg
MtC,391-ER18,IER1800D2,wolfii,117.7934,1.75,0.55,46.7,68.6,391-LMA.jpg
MtC,392-ER18,IER1800D3,wolfii,112.2859,2.09,0.6658,59.3,68.1,392-LMA.jpg
MtC,393-ER18,IER1800D4,wolfii,146.6083,2.51,0.7274,49.6,71,393-LMA.jpg
MtC,394-ER18,IER18003X,Engelmann,31.7209,2.11,1.1526,363.4,45.4,394-LMA.jpg
