SampleSiteID,SampleSiteCode,SampleID,IGSN,Analysis_date_yymmdd,Site_Veg,AreaAllN2,AreaAllCO2,d15N,d13C,N_weight_percent,C_weight_percent
56,056-ER18,056-ER18-FO,IER18000Z,190204,boothii,100.211,194.455,0.13,-25.86,3.28,50.01
57,057-ER18,057-ER18-FO,IER1800AX,190204,planifolia,90.899,163.712,4.55,-25.05,2.94,41.59
58,058-ER18,058-ER18-FO,IER180010,190204,boothii,100.899,182.803,4.19,-27.04,3.19,45.46
59,059-ER18,059-ER18-FO,IER180023,190204,DisInv,94.834,192.082,3.05,-23.82,3.02,48.02
60,060-ER18,060-ER18-FO,IER1800BH,190204,PenFlo,75.31,167.114,2.09,-25.8,2.48,43.31
61,061-ER18,061-ER18-FO,IER1800BW,190204,Snowberry,113.899,187.296,2.29,-23.11,3.71,47.86
62,062-ER18,062-ER18-FO,IER180011,190204,boothii,92.163,189.187,4.22,-25.78,3.03,48.8
63,063-ER18,063-ER18-FO,IER1800BX,190204,Snowberry,78.897,192.774,2.16,-24.65,2.52,48.38
64,064-ER18,064-ER18-FO,IER1800BY,190204,Snowberry,89.534,197.773,1.23,-24.76,2.83,49.06
65,065-ER18,065-ER18-FO,IER180064,190204,Meadow,126.65,185.705,2.88,-24.88,4.05,46.61
66,066-ER18,066-ER18-FO,IER180065,190204,Meadow,122.946,180.338,-0.13,-25.43,4.03,46.41
67,067-ER18,067-ER18-FO,IER180066,190204,Meadow,131.994,187.436,0.08,-25.64,4.1,45.7
68,068-ER18,068-ER18-FO,IER180067,190204,Meadow,100.395,179.08,-0.26,-26.89,3.25,45.53
69,069-ER18,069-ER18-FO,IER180068,190204,Meadow,156.9,186.878,-0.41,-25.22,4.96,46.38
70,070-ER18,070-ER18-FO,IER180069,190204,Meadow,95.643,178.521,-1.58,-27.51,3.03,44.48
71,071-ER18,071-ER18-FO,IER18006A,190204,Meadow,126.967,192.13,0.7,-25.39,3.95,47
72,072-ER18,072-ER18-FO,IER18006B,190204,Meadow,98.651,184.454,0.26,-25.96,3.12,45.8
73,073-ER18,073-ER18-FO,IER18006C,190204,Meadow,110.371,171.964,1.32,-25.67,3.74,45.78
74,074-ER18,074-ER18-FO,IER18006D,190204,Meadow,98.081,178.398,0.67,-24.75,3.15,44.98
75,075-ER18,075-ER18-FO,IER18006E,190205,Meadow,97.166,178.163,1.01,-26.38,3.11,44.44
76,076-ER18,076-ER18-FO,IER18006F,190205,Meadow,112.418,187.474,0.54,-26.36,3.5,45.49
77,077-ER18,077-ER18-FO,IER18006G,190205,Meadow,138.047,187.659,0.36,-25.26,4.4,46.6
78,078-ER18,078-ER18-FO,IER18006H,190205,Meadow,104.621,185.433,1.57,-25.27,3.29,45.43
79,079-ER18,079-ER18-FO,IER18006I,190205,Meadow,103.517,179.149,2.28,-24.44,3.4,45.9
80,080-ER18,080-ER18-FO,IER18006J,190205,Meadow,112.273,182.57,1.75,-25.29,3.61,45.79
81,081-ER18,081-ER18-FO,IER18006K,190205,Meadow,107.954,178.772,2.55,-25.39,3.56,45.99
82,082-ER18,082-ER18-FO,IER18006L,190205,Meadow,130.585,181.946,0.06,-25.01,4.24,46.07
83,083-ER18,083-ER18-FO,IER18006M,190205,Meadow,120.15,190.899,1.54,-25.81,3.76,46.59
84,084-ER18,084-ER18-FO,IER18006N,190205,Meadow,112.033,185.218,2.17,-25,3.55,45.76
85,085-ER18,085-ER18-FO,IER18002B,190205,Elderberry,135.547,186.918,0.55,-25.14,4.44,47.69
86,086-ER18,086-ER18-FO,IER180012,190205,boothii,134.024,199.487,-1.11,-26.8,4.2,48.73
87,087-ER18,087-ER18-FO,IER18002C,190205,Elderberry,155.551,198.101,0.26,-26.72,4.89,48.58
88,088-ER18,088-ER18-FO,IER18004J,190205,glauca,92.979,180.614,-0.97,-28.56,3.08,46.63
89,089-ER18,089-ER18-FO,IER180013,190205,boothii,100.973,197.172,-0.65,-26.69,3.26,49.6
90,090-ER18,090-ER18-FO,IER18004K,190205,glauca,112.843,190.62,-0.91,-27.19,3.53,46.45
91,091-ER18,091-ER18-FO,IER180014,190205,boothii,94.445,200.227,-2.83,-26.92,3.02,49.94
92,092-ER18,092-ER18-FO,IER180015,190205,boothii,85.139,192.716,-2.62,-27.5,2.82,49.68
93,093-ER18,093-ER18-FO,IER18001R,190205,brachy,96.853,185.333,-2.33,-25.91,3.11,46.32
94,094-ER18,094-ER18-FO,IER18004R,190205,Juniper,43.082,205.07,-4.11,-25.23,1.37,50.64
95,095-ER18,095-ER18-FO,IER18002R,190205,Engelmann,23.611,187.838,-2.42,-25.94,0.77,47.78
96,096-ER18,096-ER18-FO,IER18002S,190205,Engelmann,30.181,213.341,-5.23,-26.72,0.93,51.14
97,097-ER18,097-ER18-FO,IER180006,190205,Aspen,90.726,203.402,-2.62,-26.21,2.82,49.35
98,098-ER18,098-ER18-FO,IER18004W,190205,Lodgepole,27.327,208.536,-3.81,-27.13,0.84,50.08
99,099-ER18,099-ER18-FO,IER18004X,190205,Lodgepole,32.972,203.085,-1,-25.88,1.09,52.22
100,100-ER18,100-ER18-FO,IER18004Y,190205,Lodgepole,31.651,201.836,-4.39,-25.84,1.02,50.39
101,101-ER18,101-ER18-FO,IER18004Z,190205,Lodgepole,33.8,210.841,-4.03,-25.84,1.08,52.38
102,102-ER18,102-ER18-FO,IER180007,190205,Aspen,85.624,191.847,-2.71,-24.9,2.88,50.26
103,103-ER18,103-ER18-FO,IER180008,190205,Aspen,107.303,201.497,-1.83,-24.88,3.36,49.13
104,104-ER18,104-ER18-FO,IER1800CR,190205,wolfii,102.536,190.757,-1.26,-25.76,3.15,45.7
105,105-ER18,105-ER18-FO,IER1800CS,190205,wolfii,95.138,195.481,-4.55,-27.34,2.95,47.31
106,106-ER18,106-ER18-FO,IER180016,190205,boothii,99.305,188.231,-0.66,-26.66,3.25,48.03
107,107-ER18,107-ER18-FO,IER180017,190206,boothii,121.587,205.443,3.88,-26.01,3.88,50.68
108,108-ER18,108-ER18-FO,IER180018,190206,boothii,103.378,207.608,0.12,-25.5,3.24,50.33
109,109-ER18,109-ER18-FO,IER1800CT,190206,wolfii,81.42,181.607,-1.18,-26.75,2.71,46.78
110,110-ER18,110-ER18-FO,IER18001S,190206,brachy,95.785,185.965,-1.22,-28.14,3.02,45.4
111,111-ER18,111-ER18-FO,IER180026,190206,drumm,114.267,203.587,-1.66,-27.12,3.54,48.86
112,112-ER18,112-ER18-FO,IER1800BI,190206,PenFlo,90.432,176.615,-0.02,-24.78,2.81,42.47
113,113-ER18,113-ER18-FO,IER1800BJ,190206,PenFlo,93.8,175.903,-1.16,-25.7,2.95,42.81
114,114-ER18,114-ER18-FO,IER18002T,190206,Engelmann,26.224,178.821,-2.42,-25.75,0.83,43.76
115,115-ER18,115-ER18-FO,IER18002U,190206,Engelmann,24.884,182.124,-3.71,-24.39,0.79,44.55
116,116-ER18,116-ER18-FO,IER18002V,190206,Engelmann,26.961,192.635,-2.18,-26.18,0.83,45.96
117,117-ER18,117-ER18-FO,IER18002W,190110,Engelmann,25.85,184.606,0.91,-26.67,0.81,45.23
118,118-ER18,118-ER18-FO,IER180009,190110,Aspen,103.074,192.592,0.49,-26.19,3.4,49.51
119,119-ER18,119-ER18-FO,IER18002X,190110,Engelmann,27.891,182.399,0.98,-24.93,0.88,44.68
120,120-ER18,120-ER18-FO,IER1800C4,190110,SubFir,39.324,195.744,-1.53,-26.14,1.23,47.91
121,121-ER18,121-ER18-FO,IER18002Y,190110,Engelmann,31.938,187.116,0.21,-24.34,1.03,47.14
122,122-ER18,122-ER18-FO,IER18000A,190110,Aspen,97.239,199.361,-0.58,-26.23,3.13,49.96
123,123-ER18,123-ER18-FO,IER18000B,190110,Aspen,89.963,206.498,0.44,-26.55,2.84,50.77
124,124-ER18,124-ER18-FO,IER18002Z,190110,Engelmann,21.434,183.75,NA,-25.12,0.69,46.29
125,125-ER18,125-ER18-FO,IER180030,190110,Engelmann,18.398,184.622,NA,-24.83,0.61,47.83
126,126-ER18,126-ER18-FO,IER180031,190110,Engelmann,24.11,183.208,NA,-25.12,0.79,46.86
127,127-ER18,127-ER18-FO,IER1800C5,190110,SubFir,25.141,193.925,NA,-26.55,0.81,48.62
128,128-ER18,128-ER18-FO,IER18000C,190110,Aspen,89.641,214.244,0.9,-25.78,2.78,51.67
129,129-ER18,129-ER18-FO,IER18000D,190110,Aspen,87.737,188.935,0.55,-25.82,2.81,47.13
130,130-ER18,130-ER18-FO,IER18000E,190110,Aspen,78.151,185.182,-0.26,-26.13,2.47,45.61
131,131-ER18,131-ER18-FO,IER180032,190110,Engelmann,25.569,174.561,NA,-26,0.84,44.94
132,132-ER18,132-ER18-FO,IER18000F,190110,Aspen,83.471,187.444,0.1,-25.74,2.75,48.09
133,133-ER18,133-ER18-FO,IER18000G,190110,Aspen,84.419,198.682,-0.39,-26.26,2.76,50.57
134,134-ER18,134-ER18-FO,IER180019,190110,boothii,87.286,174.671,0.36,-24.03,2.8,43.63
135,135-ER18,135-ER18-FO,IER18001A,190110,boothii,105.694,189.452,-1.2,-25.49,3.6,50.24
136,136-ER18,136-ER18-FO,IER1800BK,190110,PenFlo,81.288,174.596,-0.26,-26.22,2.59,43.25
137,137-ER18,137-ER18-FO,IER1800AY,190110,planifolia,97.925,174.049,-1.65,-25.63,3.24,44.79
138,138-ER18,138-ER18-FO,IER1800BU,190110,ArtTri,74.582,182.137,-2.08,-25.33,2.53,48.14
139,139-ER18,139-ER18-FO,IER1800BV,190110,ArtTri,74.767,193.036,0.95,-25.33,2.43,48.78
140,140-ER18,140-ER18-FO,IER18001B,190110,boothii,114.53,176.389,-0.46,-24.82,3.86,46.31
141,141-ER18,141-ER18-FO,IER1800AZ,190110,planifolia,95.285,191.897,0.22,-25.03,3.14,49.26
142,142-ER18,142-ER18-FO,IER1800CJ,190110,Willow,108.523,206.97,-1,-25.76,3.39,50.39
143,143-ER18,143-ER18-FO,IER1800B0,190110,planifolia,108.601,196.626,1.08,-24.37,3.42,48.17
144,144-ER18,144-ER18-FO,IER18006O,190110,Meadow,102.643,175.524,-1.88,-25.34,3.37,44.85
145,145-ER18,145-ER18-FO,IER18006P,190110,Meadow,121.34,183.148,0.05,-26.49,3.89,45.73
146,146-ER18,146-ER18-FO,IER18006Q,190110,Meadow,121.65,194.937,-0.66,-25.58,3.78,47.14
147,147-ER18,147-ER18-FO,IER18006R,190110,Meadow,113.063,184.76,0.87,-24.72,3.69,46.95
148,148-ER18,148-ER18-FO,IER18006S,190110,Meadow,121.689,177.065,-0.52,-25.92,3.88,43.97
149,149-ER18,149-ER18-FO,IER18006T,190115,Meadow,95.573,181.162,-0.18,-26.29,3.25,47.05
150,150-ER18,150-ER18-FO,IER18006U,190115,Meadow,107.134,183.77,1.33,-26.41,3.51,46.02
151,151-ER18,151-ER18-FO,IER18006V,190115,Meadow,112.111,184.335,0.23,-25.72,3.62,45.52
